Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"TUF 16.0 Wuxga 165Hz I7-14650hx 16gb, 1TB Pcıe G4 Ssd, Gn22-x4 8GB Gaming Laptop",ASUS,Oyun,Renkli,Belirtilmemiş,Intel Core i7,14650HX,Belirtilmemiş,4,4.7,16 GB,Belirtilmemiş,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,1 TB,HDD Yok,16 inç,1920 x 1080,Full HD (FHD),Belirtilmemiş,Full HD,Windows,2025-12-03 02:26:17,76.299 TL,https://www.trendyol.com/asus/tuf-16-0-wuxga-165hz-i7-14650hx-16gb-1tb-pcie-g4-ssd-gn22-x4-8gb-gaming-laptop-p-988401880?boutiqueId=61&merchantId=107870
Stealth 18 HX AI A2XWIG-021TR Intel Core Ultra 9-275HX 64GB DDR5 2TB SSD 16GB RTX5080 GDDR7 18″,MSI,Oyun,Siyah,2 - 4 kg,Intel Core Ultra 9,275HX,13. Nesil,16,4.6,64 GB,DDR5,Nvidia GeForce RTX 5080,Harici,16 GB,GDDR7,2 TB,HDD Yok,18 inç,3840 x 2400,Ultra HD 4K (UHD),120 Hz,IPS,Windows,2025-12-03 02:26:18,238.999 TL,https://www.trendyol.com/msi/stealth-18-hx-ai-a2xwig-021tr-intel-core-ultra-9-275hx-64gb-ddr5-2tb-ssd-16gb-rtx5080-gddr7-18-p-902007003?boutiqueId=61&merchantId=118442
"ThinkPad E16 G3 Ultra 7 255H 32GB 512GB SSD 16"" WUXGA Freedos Notebook 21SR006RTX 002",LENOVO,Ofis - İş,Siyah,2 kg ve altı,Intel Core Ultra 7,255H,Belirtilmemiş,16,+5,32 GB,DDR5,Intel Arc Graphics,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:19,54.990 TL,https://www.trendyol.com/lenovo/thinkpad-e16-g3-ultra-7-255h-32gb-512gb-ssd-16-wuxga-freedos-notebook-21sr006rtx-002-p-1039925440?boutiqueId=61&merchantId=114271
"Surface Pro Copilot Pc - 13"" Touch- Snapdragon X Plus– 16gb– 512gb- 1yıl Garanti Klavye",Microsoft,Ofis - İş,siyah; Siyah,Belirtilmemiş,Snapdragon X Plus,125U,1. Nesil,10,3.4,16 GB,LPDDR5X,Adreno GPU,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,13 inç,2880 x 1800,Dokunmatik,120 Hz,IPS,Windows,2025-12-03 02:26:20,"82.903,60 TL",https://www.trendyol.com/microsoft/surface-pro-copilot-pc-13-touch-snapdragon-x-plus-16gb-512gb-1yil-garanti-klavye-p-891986032?boutiqueId=61&merchantId=112804
Nirvana Z100.1335-8V00X-S-Q Intel Core i5-1335U 8 GB RAM 500GB NVMe SSD Freedos - Oniks Siyah,CASPER,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,1335U,13. Nesil,10,4.6,8 GB,LPDDR5,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,500 GB,HDD Yok,14 inç,2560 x 1600,QHD,60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:21,25.799 TL,https://www.trendyol.com/casper/nirvana-z100-1335-8v00x-s-q-intel-core-i5-1335u-8-gb-ram-500gb-nvme-ssd-freedos-oniks-siyah-p-806443090?boutiqueId=61&merchantId=114258
Matepad 11.5 inç 8/256 Uzay Grisi Tablet + Klavye Kılıf,Huawei,Belirtilmemiş,,Belirtilmemiş,Belirtilmemiş,2200,1. Nesil,Belirtilmemiş,,128 GB,Belirtilmemiş,Adreno GPU,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,120 GB,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,,Belirtilmemiş,2025-12-03 02:26:23,25.998 TL,https://www.trendyol.com/huawei/matepad-11-5-inc-8-256-uzay-grisi-tablet-klavye-kilif-p-929681791?boutiqueId=61&merchantId=782378
"Modern 15 F13MG-631XTR i5-1334U 8GB 512SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar",MSI,Ofis - İş,Koyu Gri,2 kg ve altı,Intel Core i5,1334u,13. Nesil,10,4.6,8 GB,DDR4,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:24,26.399 TL,https://www.trendyol.com/msi/modern-15-f13mg-631xtr-i5-1334u-8gb-512ssd-15-6-fhd-freedos-dizustu-bilgisayar-p-1039297479?boutiqueId=61&merchantId=106664
"Aspire AG15-71P İNTEL CORE İ5 1334U 16 GB 512GB SSD 15,6'' FHD IPS FREEDOS NX.JDCEY.001+165",ACER,Ev - Okul,GÜMÜŞ,2 kg ve altı,Intel Core i5,i5-1334U,13. Nesil,10,4.6,16 GB,DDR5,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:25,21.999 TL,https://www.trendyol.com/acer/aspire-ag15-71p-intel-core-i5-1334u-16-gb-512gb-ssd-15-6-fhd-ips-freedos-nx-jdcey-001-165-p-984677715?boutiqueId=61&merchantId=1011169
Pro 14 Plus PB14250 Ultra 7 255U 32GB 1TB SSD 14 FHD+ FreeDOS BTO110-PB14250-UBU,Dell,Ofis - İş,Siyah,2 kg ve altı,Intel Core Ultra 7,Belirtilmemiş,Belirtilmemiş,12+,+5,32 GB,DDR5,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,1 TB,HDD Yok,14 inç,1920 x 1200,FHD+,Belirtilmemiş,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:26,62.739 TL,https://www.trendyol.com/dell/pro-14-plus-pb14250-ultra-7-255u-32gb-1tb-ssd-14-fhd-freedos-bto110-pb14250-ubu-p-1026540724?boutiqueId=61&merchantId=105378
"Latitude 3450 N010L345014U Intel Core i7-1355U 16GB 512GB SSD 14.0"" FHD Ubuntu Taşınabilir Bilg",Dell,Ofis - İş,Koyu Gri; Siyah,2 kg ve altı,Intel Core i7,Belirtilmemiş,13. Nesil,10,3.7,16 GB,DDR5,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR5,512 GB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),60 Hz,LED,Windows,2025-12-03 02:26:28,35.309 TL,https://www.trendyol.com/dell/latitude-3450-n010l345014u-intel-core-i7-1355u-16gb-512gb-ssd-14-0-fhd-ubuntu-tasinabilir-bilg-p-879885645?boutiqueId=61&merchantId=105378
Cyborg15 B13WFKG-490XTRi7-13620H 16GB 1TBSSD 8GB RTX5060 15.6FHD144Hz Duddi Çanta+Mouse+MousePad,MSI,Oyun,,2 - 4 kg,Intel Core i7,13620H,13. Nesil,16,4.9,16 GB,DDR5,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Windows,2025-12-03 02:26:29,64.999 TL,https://www.trendyol.com/msi/cyborg15-b13wfkg-490xtri7-13620h-16gb-1tbssd-8gb-rtx5060-15-6fhd144hz-duddi-canta-mouse-mousepad-p-1057266434?boutiqueId=61&merchantId=1184208
"Tulpar T6 V3.3.8 Intel Core i7 13700HX 64GB RAM 1TB SSD RTX 5060 FreeDOS 16"" FHD+ 165 Hz",MONSTER,Oyun,Siyah,2 - 4 kg,Intel Core i7,13700HX,13. Nesil,16,5.0,64 GB,DDR5,Nvidia GeForce RTX 5060,Dahili,8 GB,GDDR7,1 TB,HDD Yok,16 inç,1920 x 1200,FHD+,165 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:30,100.799 TL,https://www.trendyol.com/monster/tulpar-t6-v3-3-8-intel-core-i7-13700hx-64gb-ram-1tb-ssd-rtx-5060-freedos-16-fhd-165-hz-p-937114180?boutiqueId=61&merchantId=105286
Zenbook 14 Ux3407qa-qd381w Snapdragon 16gb Lpddr5x 512gb Ssd 14 Inç 60hz Oled W11 Home Laptop,ASUS,Ofis - İş,Gri,2 kg ve altı,Qualcomm Snapdragon X,X1-26-100,1. Nesil,8,,16 GB,LPDDR5X,Adreno GPU,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,14 inç,1920 x 1200,WUXGA,60 Hz,OLED,Windows,2025-12-03 02:26:31,47.999 TL,https://www.trendyol.com/asus/zenbook-14-ux3407qa-qd381w-snapdragon-16gb-lpddr5x-512gb-ssd-14-inc-60hz-oled-w11-home-laptop-p-898665318?boutiqueId=61&merchantId=104683
Zenbook 14 Ux3407qa-qd381w Snapdragon 16gb Lpddr5x 512gb Ssd 14 Inç 60hz Oled W11 Home Laptop,ASUS,Ofis - İş,Gri,2 kg ve altı,Qualcomm Snapdragon X,X1-26-100,1. Nesil,8,,16 GB,LPDDR5X,Adreno GPU,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,14 inç,1920 x 1200,WUXGA,60 Hz,OLED,Windows,2025-12-03 02:26:32,47.999 TL,https://www.trendyol.com/asus/zenbook-14-ux3407qa-qd381w-snapdragon-16gb-lpddr5x-512gb-ssd-14-inc-60hz-oled-w11-home-laptop-p-898665318?boutiqueId=61&merchantId=104683
"Katana 15 HX B14WGK-068XTR008 i7-14650HX 32GB 1TBSSD RTX5070 15.6"" QHD W11P Dizüstü Bilgisayar",MSI,Oyun,Siyah,2 - 4 kg,Intel Core i7,14650HX,14. Nesil,16,+5,32 GB,DDR5,Nvidia GeForce RTX 5070,Harici,8 GB,GDDR7,1 TB,HDD Yok,"15,6 inç",2560 x 1440,QHD,165 Hz,IPS,Windows,2025-12-03 02:26:33,92.899 TL,https://www.trendyol.com/msi/katana-15-hx-b14wgk-068xtr008-i7-14650hx-32gb-1tbssd-rtx5070-15-6-qhd-w11p-dizustu-bilgisayar-p-1053942556?boutiqueId=61&merchantId=106664
"Thinkbook 16 21KH001ETR I5-1335U 16GB 512GB SSD O/b Intel UHD 16"" Dos Gri Notebook",LENOVO,Ofis - İş,,2 kg ve altı,Intel Core i5,1335U,13. Nesil,10,,16 GB,DDR5,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,16 inç,1920 x 1200,Ultra HD 4K (UHD),60 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:34,25.999 TL,https://www.trendyol.com/lenovo/thinkbook-16-21kh001etr-i5-1335u-16gb-512gb-ssd-o-b-intel-uhd-16-dos-gri-notebook-p-1045064734?boutiqueId=61&merchantId=107204
MEGABOOK S14 Intel Core Ultra 7-155H 32GB RAM-1TB SSD Windows 11 Home 14” Space Grey,TECNO,Ofis - İş,,2 kg ve altı,Intel Core Ultra 7,155H,Belirtilmemiş,16,,32 GB,LPDDR5,Intel Arc Graphics,Dahili,Paylaşımlı,Dahili,1 TB,Belirtilmemiş,14 inç,2880 x 1620,WQXGA,120 Hz,,Windows,2025-12-03 02:26:35,54.999 TL,https://www.trendyol.com/tecno/megabook-s14-intel-core-ultra-7-155h-32gb-ram-1tb-ssd-windows-11-home-14-space-grey-p-1025910835?boutiqueId=61&merchantId=603411
LOQ 15IRH8 Intel Core i7-13620H 16GB/512GB SSD RTX 4050 Notebook 82XV0055TX,LENOVO,Oyun,GRİ; Gri,2 - 4 kg,Intel Core i7,13620H,13. Nesil,10,4.9,16 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Windows,2025-12-03 02:26:36,52.499 TL,https://www.trendyol.com/lenovo/loq-15irh8-intel-core-i7-13620h-16gb-512gb-ssd-rtx-4050-notebook-82xv0055tx-p-802944992?boutiqueId=61&merchantId=122596
"Victus Gaming 15-FA2704NT Intel Core i5 13420H 16GB 512GB SSD RTX3050 Fdos 15.6"" B7TG9EAN5",HP,Oyun,Siyah,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR4,Nvidia GeForce RTX 3050,Harici,Paylaşımlı,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:37,36.749 TL,https://www.trendyol.com/hp/victus-gaming-15-fa2704nt-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-fdos-15-6-b7tg9ean5-p-977775432?boutiqueId=61&merchantId=444099
IP Gaming 3 15ARH7 R7-6800H 16GB 512GB SSD RTX3050Ti/4GB 120HZ 15.6 FHD FDOS 82SB00S0TX,LENOVO,Oyun,KOYU GRİ; Gri,2 - 4 kg,AMD Ryzen 7,6800H,6. Nesil,8,4.7,16 GB,DDR5,Nvidia GeForce RTX 3050 Ti,Harici,4 GB ve altı,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:38,47.999 TL,https://www.trendyol.com/lenovo/ip-gaming-3-15arh7-r7-6800h-16gb-512gb-ssd-rtx3050ti-4gb-120hz-15-6-fhd-fdos-82sb00s0tx-p-767462424?boutiqueId=61&merchantId=655835
"Tulpar T6 V3.3.3 Intel Core i7 13700HX 16GB RAM 500GB SSD RTX 5060 Windows 11 Home 16"" FHD+ 165 Hz",MONSTER,Oyun,Siyah,2 - 4 kg,Intel Core i7,13700HX,13. Nesil,16,5.0,16 GB,DDR5,Nvidia GeForce RTX 5060,Dahili,8 GB,GDDR7,500 GB,HDD Yok,16 inç,1920 x 1200,FHD+,165 Hz,IPS,Windows,2025-12-03 02:26:39,75.499 TL,https://www.trendyol.com/monster/tulpar-t6-v3-3-3-intel-core-i7-13700hx-16gb-ram-500gb-ssd-rtx-5060-windows-11-home-16-fhd-165-hz-p-937242499?boutiqueId=61&merchantId=105286
MEGABOOK S14 Intel Core Ultra 5-125H 16GB RAM-1TB SSD Windows 11 Home 14” Impression Sunrise,TECNO,Ofis - İş,,2 - 4 kg,Intel Core Ultra 5,125H,Belirtilmemiş,14,,16 GB,LPDDR5,Intel Arc Graphics,Dahili,Paylaşımlı,Dahili,1 TB,Belirtilmemiş,14 inç,2880 x 1620,WQXGA,120 Hz,,Windows,2025-12-03 02:26:40,39.999 TL,https://www.trendyol.com/tecno/megabook-s14-intel-core-ultra-5-125h-16gb-ram-1tb-ssd-windows-11-home-14-impression-sunrise-p-1035166117?boutiqueId=61&merchantId=603411
"VivoBook 15 X1504VA-NJ3665A011 Core5 120U 8GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar",ASUS,Belirtilmemiş,Mavi,2 kg ve altı,Intel Core 5,120U,Belirtilmemiş,10,4.4,8 GB,DDR4,Intel Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Windows,2025-12-03 02:26:41,22.249 TL,https://www.trendyol.com/asus/vivobook-15-x1504va-nj3665a011-core5-120u-8gb-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-p-1053484092?boutiqueId=61&merchantId=570066
"TUF Gaming A15 FA506NCR-HN114A002 Ryzen7 7435HS 16GB 512SSD RTX3050 15.6"" FHD FreeDOS Dizüstü B",ASUS,Oyun,Siyah,2 - 4 kg,AMD Ryzen 7,7435HS,7. Nesil,8,4.5,16 GB,DDR5,Nvidia GeForce RTX 3050,Harici,4 GB ve altı,GDDR6,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:42,35.899 TL,https://www.trendyol.com/asus/tuf-gaming-a15-fa506ncr-hn114a002-ryzen7-7435hs-16gb-512ssd-rtx3050-15-6-fhd-freedos-dizustu-b-p-962574734?boutiqueId=61&merchantId=153128
"Victus 15 15-FA2704NT B7TG9EA013 i5-13420H 32GB 1TBSSD RTX3050 15.6"" FHD W11P Dizüstü Bilgisayar-",HP,Oyun,Gri,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,32 GB,DDR4,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Windows,2025-12-03 02:26:43,41.999 TL,https://www.trendyol.com/hp/victus-15-15-fa2704nt-b7tg9ea013-i5-13420h-32gb-1tbssd-rtx3050-15-6-fhd-w11p-dizustu-bilgisayar-p-940752868?boutiqueId=61&merchantId=334898
"Nitro V 15 Intel i5 13420H 16GB 1TB SSD Rtx 4050-6GB 60W Freedos 15.6"" 144Hz IPS NH.QNBEY.001-2",ACER,Oyun,Siyah,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:44,"40.149,01 TL",https://www.trendyol.com/acer/nitro-v-15-intel-i5-13420h-16gb-1tb-ssd-rtx-4050-6gb-60w-freedos-15-6-144hz-ips-nh-qnbey-001-2-p-925273532?boutiqueId=61&merchantId=106198
"Nitro V 15 Intel i5 13420H 16GB 1TB SSD Rtx 4050-6GB 60W Freedos 15.6"" 144Hz IPS NH.QNBEY.001-2",ACER,Oyun,Siyah,2 - 4 kg,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:45,"40.149,01 TL",https://www.trendyol.com/acer/nitro-v-15-intel-i5-13420h-16gb-1tb-ssd-rtx-4050-6gb-60w-freedos-15-6-144hz-ips-nh-qnbey-001-2-p-925273532?boutiqueId=61&merchantId=106198
"Elitebook 850 G2 B KALİTE Intel i7-5600U 15.6"" 16 Ram 256 SSD DOKUNMATİK Notebook - Outlet",HP,Ofis - İş,gri,2 - 4 kg,Intel Core i7,5600U,5. Nesil,2,3.6,16 GB,DDR3,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,256 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Windows,2025-12-03 02:26:46,"12.896,15 TL",https://www.trendyol.com/hp/elitebook-850-g2-b-kalite-intel-i7-5600u-15-6-16-ram-256-ssd-dokunmatik-notebook-outlet-p-1054300055?boutiqueId=61&merchantId=299851
"250 G10 Intel Core i5-1334 8GB 512 GB SSD 15.6"" Freedos B2PH6ES",HP,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,1334u,13. Nesil,10,4.6,8 GB,DDR4,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:47,19.900 TL,https://www.trendyol.com/hp/250-g10-intel-core-i5-1334-8gb-512-gb-ssd-15-6-freedos-b2ph6es-p-943567173?boutiqueId=61&merchantId=299342
"Vivobook 16 Core 5 210H 32GB 1TB SSD 6 GB RTX4050 144Hz 16"" Fdos Gaming V3607VU-RP288 003",ASUS,Oyun,Matte Black,2 kg ve altı,Intel Core i5,210H,2. Nesil,8,4.8,32 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,1 TB,HDD Yok,16 inç,1920 x 1200,WUXGA,144 Hz,LED,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:48,54.999 TL,https://www.trendyol.com/asus/vivobook-16-core-5-210h-32gb-1tb-ssd-6-gb-rtx4050-144hz-16-fdos-gaming-v3607vu-rp288-003-p-929890883?boutiqueId=61&merchantId=339221
Inspiron 15 3530 I35303401U I5-1334U 8GB 512GB SSD 15.6″ 120Hz FULL HD Ubuntu,Dell,Ofis - İş,Siyah,2 kg ve altı,Intel Core i5,i5-1334U,13. Nesil,10,4.6,8 GB,DDR4,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,512 GB,Belirtilmemiş,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Linux,2025-12-03 02:26:50,23.999 TL,https://www.trendyol.com/dell/inspiron-15-3530-i35303401u-i5-1334u-8gb-512gb-ssd-15-6-120hz-full-hd-ubuntu-p-886669540?boutiqueId=61&merchantId=693511
"IP Slim 3 15IRH10 83K10062TR-EP6 i5-13420H 16 GB 512 GB SSD WUXGA 15.3"" Win11 Pro + EP Çanta",LENOVO,Belirtilmemiş,,2 kg ve altı,Intel Core i5,13420H,13. Nesil,8,4.6,16 GB,DDR5,Belirtilmemiş,Dahili,Paylaşımlı,Belirtilmemiş,512 GB,HDD Yok,"15,3 inç",1920 x 1200,WUXGA,Belirtilmemiş,IPS,Windows,2025-12-03 02:26:51,24.999 TL,https://www.trendyol.com/lenovo/ip-slim-3-15irh10-83k10062tr-ep6-i5-13420h-16-gb-512-gb-ssd-wuxga-15-3-win11-pro-ep-canta-p-980984896?boutiqueId=61&merchantId=1109500
"Omen Slim 16-AN0011NT/Intel Core Ultra 5 -225H/16 GB RAM/512 GB SSD/RTX 5050/16""/W11 Gaming Lapto",HP,Oyun,Gölge Siyahı,2 - 4 kg,Intel Core Ultra 5,,Belirtilmemiş,14,4.9,16 GB,DDR5,Nvidia GeForce RTX 5050,Harici,8 GB,GDDR7,512 GB,HDD Yok,16 inç,1920 x 1200,QHD,144 Hz,IPS,Windows,2025-12-03 02:26:52,66.000 TL,https://www.trendyol.com/hp/omen-slim-16-an0011nt-intel-core-ultra-5-225h-16-gb-ram-512-gb-ssd-rtx-5050-16-w11-gaming-lapto-p-1056478582?boutiqueId=61&merchantId=275331
"V15 G4 82Yu00Q6Tx Ryzen 5 7520U 8Gb 256Gb Ssd 15.6"" Fhd Ob Vga Freedos Notebook Taşınabilir Bilgisay",LENOVO,Ofis - İş,Siyah; Gri,2 - 4 kg,AMD Ryzen 3,5200,1. Nesil,1,4.5,1 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR,128 GB,250 GB,14 inç,1280 x 800,Full HD (FHD),60 Hz,,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:53,20.999 TL,https://www.trendyol.com/lenovo/v15-g4-82yu00q6tx-ryzen-5-7520u-8gb-256gb-ssd-15-6-fhd-ob-vga-freedos-notebook-tasinabilir-bilgisay-p-796641202?boutiqueId=61&merchantId=585885
"IDEAPAD SLİM 3 RYZEN 7 5825U 8GB RAM DDR4 2 TB NVM SSD RADEON GRA 15.6"" FHD NOTEBOOK+OKATECH ÇANTA",LENOVO,Ofis - İş,,2 kg ve altı,AMD Ryzen 7,5825U,7. Nesil,8,4.5,8 GB,DDR4,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,2 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 02:26:54,32.499 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-ryzen-7-5825u-8gb-ram-ddr4-2-tb-nvm-ssd-radeon-gra-15-6-fhd-notebook-okatech-canta-p-1059592251?boutiqueId=61&merchantId=161935
"TUF Gaming F16 FX607VU-RL142A010 Core5 210H 16GB 512SSD RTX4050 16"" WUXGA W11P Dizüstü Bilgisay",ASUS,Oyun,Gri,2 - 4 kg,Intel Core i5,210H,2. Nesil,8,4.8,16 GB,DDR5,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,512 GB,HDD Yok,16 inç,1920 x 1200,WUXGA,144 Hz,IPS,Windows,2025-12-03 02:26:55,53.499 TL,https://www.trendyol.com/asus/tuf-gaming-f16-fx607vu-rl142a010-core5-210h-16gb-512ssd-rtx4050-16-wuxga-w11p-dizustu-bilgisay-p-931233456?boutiqueId=61&merchantId=106664
"Slayer R9M XL-5060 C7 AMD Ryzen 9 8940HX 16GB RAM 1TB SSD RTX5060 17"" QHD+ 240Hz IPS FreeDOS",Game Garaj,Oyun,Siyah,2 - 4 kg,AMD Ryzen 9,Belirtilmemiş,8. Nesil,16,+5,16 GB,DDR5,Nvidia GeForce RTX 5060,Harici,8 GB,GDDR7,1 TB,HDD Yok,17 inç,2560 x 1600,QHD+,240 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:56,67.999 TL,https://www.trendyol.com/game-garaj/slayer-r9m-xl-5060-c7-amd-ryzen-9-8940hx-16gb-ram-1tb-ssd-rtx5060-17-qhd-240hz-ips-freedos-p-1043361160?boutiqueId=61&merchantId=124551
"Ideapad Slim 3/ AMD Ryzen 5 5625U/ 8 GB Ram/ 512 GB SSD/ 15.6""/ W11/ Laptop 82XM00QXTX",LENOVO,Ofis - İş,Gri,2 kg ve altı,AMD Ryzen 5,5625U,5. Nesil,6,4.3,8 GB,DDR4,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Windows,2025-12-03 02:26:57,22.000 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-amd-ryzen-5-5625u-8-gb-ram-512-gb-ssd-15-6-w11-laptop-82xm00qxtx-p-985425281?boutiqueId=61&merchantId=275331
"Slayer R9M3D XL-5070 C4 AMD Ryzen 9 9955HX3D 64GB RAM 2TB SSD RTX5070 17"" QHD+ 240Hz IPS",Game Garaj,Oyun,Siyah,2 - 4 kg,AMD Ryzen 9,9955HX3D,9. Nesil,16,+5,64 GB,DDR5,Nvidia GeForce RTX 5070,Harici,8 GB,GDDR7,2 TB,HDD Yok,17 inç,2560 x 1600,QHD+,240 Hz,IPS,Free Dos (İşletim Sistemi Yok),2025-12-03 02:26:58,101.999 TL,https://www.trendyol.com/game-garaj/slayer-r9m3d-xl-5070-c4-amd-ryzen-9-9955hx3d-64gb-ram-2tb-ssd-rtx5070-17-qhd-240hz-ips-p-978420268?boutiqueId=61&merchantId=124551
TOSHIBA Tecra X40-D-162 i7 7500U 2.70GHz 8GB 512GB SSD 14 FHD Tümleşik VGA Win 10 (Pro) Cam Akik M,Toshiba,Ev - Okul,Siyah,2 - 4 kg,Intel Core i7,7500U,7. Nesil,2,,8 GB,DDR4,Dahili Ekran Kartı,Dahili,Paylaşımlı,DDR4,512 GB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),Belirtilmemiş,,Windows,2025-12-03 02:27:00,"72.499,99 TL",https://www.trendyol.com/toshiba/toshiba-tecra-x40-d-162-i7-7500u-2-70ghz-8gb-512gb-ssd-14-fhd-tumlesik-vga-win-10-pro-cam-akik-m-p-2573355?boutiqueId=61&merchantId=112319
